Kecepatan Angin,Curah Hujan,Kualitas Air,Penutup Otomatis
0.0,0.0,0.0,0.0
5.595555555555555,21.572222222222223,36.10333333333334,11.571111111111112
10.171111111111111,47.69444444444444,62.756666666666675,24.19222222222222
16.666666666666664,69.71666666666665,107.39,30.67333333333333
23.842222222222222,83.91888888888889,130.88333333333335,44.434444444444445
27.247777777777777,117.92111111111112,155.58666666666667,57.72555555555556
31.67333333333333,138.0533333333333,197.43,72.66666666666666
38.34888888888889,158.02555555555554,225.08333333333334,84.03777777777778
44.504444444444445,190.02777777777777,290.0966666666667,80.90888888888888
45.96,198.74,321.94,93.46
